fold,mae,rmse,r2,pearson,spearman,samples
1,0.9556041359901428,1.2436184883117676,0.6037110090255737,0.7801716327667236,0.7179473042488098,114
2,0.9764585494995117,1.3869271278381348,0.7150989770889282,0.848516047000885,0.7826399803161621,113
3,0.9769892692565918,1.2861425876617432,0.5072379112243652,0.7215442657470703,0.6745265126228333,113
4,0.9340279698371887,1.167708396911621,0.850762665271759,0.9228579998016357,0.8010179996490479,113
5,0.9601984620094299,1.3263349533081055,0.6110399961471558,0.7839235067367554,0.6785423755645752,113
6,1.0314980745315552,1.3610912561416626,0.6866438984870911,0.8299092054367065,0.7592337131500244,113
7,0.9006420373916626,1.1923664808273315,0.8082650303840637,0.9005788564682007,0.7755030393600464,113
8,0.9384337663650513,1.3001221418380737,0.748822808265686,0.8662623763084412,0.8111210465431213,113
9,0.946268618106842,1.2021249532699585,0.6698243021965027,0.8218326568603516,0.7590606212615967,113
10,1.0643974542617798,1.3649163246154785,0.7472105026245117,0.8702555298805237,0.6760526895523071,113
