fold,mae,rmse,r2,pearson,spearman,samples
1,0.8882436752319336,1.1866824626922607,0.6391665935516357,0.8080974817276001,0.7335405349731445,114
2,1.0128048658370972,1.3998876810073853,0.7097493410110474,0.8478834629058838,0.7667704224586487,113
3,0.8026083111763,1.046787142753601,0.6735806465148926,0.821557879447937,0.7599532008171082,113
4,1.0680865049362183,1.3931138515472412,0.7875866293907166,0.8889431357383728,0.760970413684845,113
5,0.8567350506782532,1.2009460926055908,0.6811065673828125,0.8268935084342957,0.7409928441047668,113
6,0.9595446586608887,1.2950812578201294,0.7163010835647583,0.8470531702041626,0.8091706037521362,113
7,0.9893458485603333,1.3712745904922485,0.7464108467102051,0.8664112091064453,0.691729724407196,113
8,0.9655081033706665,1.330058217048645,0.7371227145195007,0.8646420836448669,0.7971895933151245,113
9,0.9136346578598022,1.302947998046875,0.6121176481246948,0.7956677079200745,0.7310605049133301,113
10,0.920882523059845,1.2634966373443604,0.7833817601203918,0.8854390978813171,0.7653136253356934,113
