fold,mae,rmse,r2,pearson,spearman,samples
1,1.1616030931472778,1.6528466939926147,0.187477707862854,0.4386848509311676,0.31927263736724854,65
2,1.2104389667510986,1.705417275428772,0.28844571113586426,0.5468977093696594,0.5856159329414368,65
3,0.9260499477386475,1.3601393699645996,0.5104836225509644,0.7202635407447815,0.6179497241973877,65
4,1.1616166830062866,1.6254281997680664,0.25869858264923096,0.5103354454040527,0.5303061604499817,64
5,0.9686344265937805,1.4628784656524658,0.2935686707496643,0.5610162019729614,0.4324703812599182,65
6,1.0598186254501343,1.538543462753296,0.36312633752822876,0.6157137751579285,0.5717295408248901,64
7,1.494977593421936,2.1998836994171143,0.3179019093513489,0.6389964818954468,0.6769303679466248,64
8,0.9023799896240234,1.3899588584899902,0.08831775188446045,0.3052618205547333,0.2924695312976837,64
9,1.0085415840148926,1.4234294891357422,0.34531235694885254,0.5877718925476074,0.5611293315887451,63
10,0.9621062874794006,1.5221127271652222,0.39289337396621704,0.6290619969367981,0.5003435611724854,64
