fold,mae,rmse,r2,pearson,spearman,samples
1,1.0119138956069946,1.542130470275879,0.2926858067512512,0.5667457580566406,0.53171306848526,65
2,1.1167443990707397,1.6930948495864868,0.2986912131309509,0.5738407969474792,0.7035959959030151,65
3,0.8194511532783508,1.2459295988082886,0.5892407298088074,0.7723429203033447,0.688248336315155,65
4,0.9739915132522583,1.4950597286224365,0.37284284830093384,0.6212953329086304,0.6423484683036804,64
5,0.8570875525474548,1.2843225002288818,0.45549529790878296,0.6897042393684387,0.6178929209709167,65
6,0.9102815985679626,1.333980917930603,0.5212233066558838,0.7227128148078918,0.6790776252746582,64
7,1.1768722534179688,2.057088851928711,0.4035782217979431,0.6664122939109802,0.7934393286705017,64
8,0.7382469773292542,1.1065117120742798,0.4222344756126404,0.6737896203994751,0.6197851896286011,64
9,0.9046733379364014,1.2623740434646606,0.48508167266845703,0.6974143981933594,0.6533424854278564,63
10,0.7893375754356384,1.3165298700332642,0.5458149909973145,0.7411662340164185,0.6512917280197144,64
