fold,mae,rmse,r2,pearson,spearman,samples
1,0.9267591238021851,1.4518711566925049,0.37305963039398193,0.6157829165458679,0.6246230006217957,65
2,1.2703852653503418,1.751001000404358,0.24989938735961914,0.5097694993019104,0.6333151459693909,65
3,0.8711378574371338,1.4025545120239258,0.47947704792022705,0.6964598894119263,0.6191086173057556,65
4,1.0518244504928589,1.6169002056121826,0.2664567828178406,0.5168056488037109,0.6233426928520203,64
5,0.9128022789955139,1.3069002628326416,0.43618279695510864,0.6960591673851013,0.6429541707038879,65
6,0.8636921048164368,1.2740353345870972,0.5632864236831665,0.7507196068763733,0.6982436776161194,64
7,1.6474429368972778,2.298562526702881,0.2553365230560303,0.5098808407783508,0.6441006064414978,64
8,0.7172518968582153,1.001249074935913,0.526931643486023,0.7346959710121155,0.5946528911590576,64
9,1.0726194381713867,1.457423448562622,0.31366878747940063,0.5634182095527649,0.5508780479431152,63
10,0.8530241847038269,1.3690584897994995,0.5088486671447754,0.7231758832931519,0.7220365405082703,64
