fold,mae,rmse,r2,pearson,spearman,samples
1,0.9341685771942139,1.2415778636932373,0.6050105094909668,0.7883875966072083,0.715658962726593,114
2,1.018307089805603,1.464997410774231,0.6821219325065613,0.8290730118751526,0.7414190769195557,113
3,0.9203351736068726,1.1307402849197388,0.6191229224205017,0.788760244846344,0.7280189990997314,113
4,1.0577293634414673,1.3523714542388916,0.7998292446136475,0.8951032161712646,0.7817968130111694,113
5,0.8447966575622559,1.1596484184265137,0.7026614546775818,0.8389216065406799,0.7317023873329163,113
6,0.9919931292533875,1.327172040939331,0.7020673155784607,0.8410214781761169,0.8088337779045105,113
7,0.8986571431159973,1.2446602582931519,0.7910783290863037,0.891847550868988,0.7679712176322937,113
8,0.9433117508888245,1.2779585123062134,0.7573136687278748,0.8762331008911133,0.8344842195510864,113
9,0.9456251859664917,1.2835376262664795,0.6235883235931396,0.8011929392814636,0.7200192809104919,113
10,1.0676350593566895,1.3390576839447021,0.7566981315612793,0.8747969269752502,0.7352425456047058,113
