fold,mae,rmse,r2,pearson,spearman,samples
1,0.9289799332618713,1.3288965225219727,0.47476649284362793,0.6950470805168152,0.5229269862174988,65
2,1.1041196584701538,1.584669828414917,0.3856380581855774,0.6409961581230164,0.652989387512207,65
3,1.0214811563491821,1.5167176723480225,0.3912908434867859,0.6294125914573669,0.5660403370857239,65
4,1.197779655456543,1.7511346340179443,0.1396040916442871,0.3782002329826355,0.5357788801193237,64
5,0.9467267394065857,1.411305546760559,0.34250032901763916,0.5981096029281616,0.5956089496612549,65
6,0.9627739787101746,1.422735571861267,0.4553943872451782,0.6784940361976624,0.7134482860565186,64
7,1.364295482635498,2.1268720626831055,0.3624266982078552,0.6382904052734375,0.7179217338562012,64
8,0.8483437895774841,1.363245964050293,0.12302333116531372,0.36448776721954346,0.5187061429023743,64
9,1.0066965818405151,1.45448899269104,0.31642985343933105,0.5715823173522949,0.5824240446090698,63
10,0.8464858531951904,1.5382400751113892,0.3799601197242737,0.6387315392494202,0.6038613319396973,64
