fold,mae,rmse,r2,pearson,spearman,samples
1,0.8878532648086548,1.1872867345809937,0.6387990713119507,0.8138477206230164,0.719842791557312,114
2,1.0431089401245117,1.4676764011383057,0.6809582710266113,0.8268067240715027,0.745307445526123,113
3,0.8140836954116821,1.0387330055236816,0.6785843372344971,0.8241238594055176,0.7557404637336731,113
4,1.0427112579345703,1.3720213174819946,0.7939700484275818,0.8933576345443726,0.7811480760574341,113
5,0.8563886880874634,1.2244610786437988,0.6684962511062622,0.8194206953048706,0.7499380707740784,113
6,0.9539667963981628,1.3031220436096191,0.7127673029899597,0.8480411767959595,0.8027288913726807,113
7,0.9337809681892395,1.270919919013977,0.782169759273529,0.8864094018936157,0.7821240425109863,113
8,0.9536055326461792,1.297178030014038,0.7499591112136841,0.869655191898346,0.8338479399681091,113
9,0.9888315200805664,1.4390599727630615,0.5268447995185852,0.7449920773506165,0.6790317296981812,113
10,1.0386621952056885,1.3902883529663086,0.7377251386642456,0.8673273324966431,0.7246422171592712,113
