fold,mae,rmse,r2,pearson,spearman,samples
1,0.9044983386993408,1.2054013013839722,0.627693235874176,0.7947953343391418,0.736497163772583,114
2,0.9472554922103882,1.3300224542617798,0.7379978895187378,0.8596917390823364,0.7843866348266602,113
3,0.8658493757247925,1.1266509294509888,0.6218727827072144,0.7894750833511353,0.7067850232124329,113
4,0.8410794138908386,1.0959489345550537,0.8685413002967834,0.9330742359161377,0.825745165348053,113
5,1.011051058769226,1.3687191009521484,0.5857837200164795,0.7773008942604065,0.6774402856826782,113
6,0.9973216652870178,1.3115801811218262,0.709026575088501,0.8465561270713806,0.7755605578422546,113
7,0.8634665608406067,1.0844390392303467,0.8414040207862854,0.9217413663864136,0.8279512524604797,113
8,0.9330331087112427,1.3185874223709106,0.7416374087333679,0.8683243989944458,0.8323882818222046,113
9,0.9537098407745361,1.2240266799926758,0.6576836109161377,0.8137937188148499,0.7381176948547363,113
10,1.0326021909713745,1.3526906967163086,0.7517187595367432,0.8767094612121582,0.6847525835037231,113
