fold,mae,rmse,r2,pearson,spearman,samples
1,0.8467201590538025,1.119797706604004,0.678695559501648,0.8282792568206787,0.7748037576675415,114
2,1.010401725769043,1.4362176656723022,0.6944886445999146,0.8355790972709656,0.7264062166213989,113
3,0.9147962927818298,1.174600601196289,0.5890021324157715,0.7755972146987915,0.7373634576797485,113
4,0.9956074357032776,1.3469551801681519,0.8014293909072876,0.8967704176902771,0.7632243633270264,113
5,0.9055638909339905,1.2801579236984253,0.6376521587371826,0.8082430958747864,0.7417122721672058,113
6,0.9143780469894409,1.2676365375518799,0.7281976938247681,0.8536911606788635,0.8098692893981934,113
7,0.9652305245399475,1.2883646488189697,0.776148796081543,0.8828442692756653,0.7214577198028564,113
8,0.9019745588302612,1.244310736656189,0.7699249982833862,0.879843533039093,0.8065007925033569,113
9,1.010854721069336,1.3529037237167358,0.5818042159080505,0.7682281136512756,0.6862012147903442,113
10,0.9156141877174377,1.2929975986480713,0.7731481790542603,0.8810089230537415,0.7544928789138794,113
