fold,mae,rmse,r2,pearson,spearman
1,0.8631856732075545,1.1571903325750974,0.6568790758247416,0.8168333786391395,0.7298913539119212
2,1.0015555164651733,1.3416365753534059,0.733402183985141,0.8830900748139769,0.849678013734659
3,0.8773225964731786,1.1660194937767805,0.5949853452978557,0.7739017263479011,0.7406529473304058
4,0.9945955121852526,1.3740966703481918,0.7947440700897821,0.9141975653840984,0.8303720914340383
5,0.9143278182584944,1.2711297972543067,0.6427449681217172,0.8110715871437602,0.7382398503028699
6,1.0027106882872878,1.416851074703671,0.6604434442969529,0.8251917721259991,0.8053030917391563
7,0.8350124863985223,1.244501911084029,0.7911315000187039,0.9024541698065968,0.848130459541395
8,0.9500486610418877,1.3080919160125237,0.747957703081929,0.8810793780903912,0.7364985232929077
9,0.9332359472378334,1.2208022575219992,0.6594847506658462,0.8193574381339558,0.7488761264791556
10,1.0084096792936057,1.4303100475702322,0.7224077843524593,0.8542969900281072,0.694429715945917
