fold,mae,rmse,r2,pearson,spearman
1,1.098668719273347,1.5798526648619937,0.25765932235197875,0.5145416749808766,0.21641913443216498
2,1.3897075595901562,2.1103863956568043,0.08960883249079687,0.1172878385171415,0.22978202854156232
3,1.3700358839768627,1.99470029210856,0.05282377162233365,0.08415448963644741,0.07206304253234576
4,1.338116041366011,2.0421114216958456,0.1700869987499587,0.19184856642445883,0.19144152625717073
5,0.9519068575851045,1.566432012987659,0.19001584533853155,0.5286926723410165,0.4467906858133102
6,1.238106807284057,1.7564523203009916,0.16994576358517222,0.4202508166014376,0.3357148631473805
7,1.7622876150906084,2.7791370056325224,0.08859737139548396,0.28217572726112033,0.19045768988282702
8,0.9409815151616931,1.5127783862737938,0.07991676724131214,0.11904412469585739,0.14700019584157112
9,1.1484114108607173,1.691739988204694,0.06615223826357397,0.3001771900205027,0.34970568736444724
10,1.1799933274881915,1.860951488692891,0.0925107974963073,0.3370945812464486,0.19385500737699635
